1104,272,465,11325,25540,5451,11332,2047,8169,6129
1328,294,464,11773,26475,5482,11378,1819,8269,5997
1272,369,488,12882,28638,6328,12258,2758,9146,6518
1393,354,482,12949,28091,6244,11997,2853,7803,6324
1266,305,468,12007,26398,5481,11017,1537,8681,6129
1437,341,475,11876,26691,5775,11581,1766,8914,6239
1296,155,435,9865,23422,5267,10027,1383,8726,6643
1457,257,433,10381,24052,4868,10334,1644,8006,5695
1400,325,482,12576,28302,6524,12302,2430,8821,6069
1208,245,463,11006,25563,5566,11343,1949,8390,6508
1458,359,479,11492,25748,5152,11268,1558,7236,4771
1186,195,434,10769,24260,4422,9939,1448,8667,5954
1161,235,449,10883,24247,4951,10897,1534,8718,6099
1236,184,428,10354,23446,4058,9942,1298,7923,5873
1194,158,436,10709,25022,4950,10059,1574,8560,6055
1156,193,441,10186,24054,4870,9568,1349,8923,6158
1166,332,480,12229,26240,4727,11754,1458,8381,5948
1426,224,422,10517,23775,5026,10640,1245,8464,6628
1202,173,426,9708,22555,4331,9716,1273,7718,6029
1106,201,437,9919,24290,5519,10197,1507,8534,6486
1237,210,445,10926,24372,4626,9622,1156,7946,5676
1135,172,418,9472,21963,3722,9941,1332,7285,5880
1323,323,475,12438,27341,5323,11924,1760,7248,5144
1125,318,458,12172,25959,4821,11035,1195,8669,6619
1183,151,417,9751,22570,4342,9435,1130,7784,5707
1129,259,451,11531,25728,4764,10785,1181,8370,5973
1314,366,485,14248,30486,6977,12964,2200,8330,6629
1336,201,466,10674,25514,5187,10704,1385,8276,5907
1353,183,457,10636,25716,5473,10633,2092,8455,6213
1162,180,410,9102,21382,4102,9475,1008,8006,5734
1390,282,464,11485,26006,5362,11207,1655,8424,5977
1131,261,457,10613,24762,4805,10889,1392,8373,5985
1462,338,480,12159,26362,5518,12067,1611,8667,6213
1389,194,459,10619,25739,5503,10456,1666,8834,6435
1196,354,487,12911,27463,5607,11964,1816,8041,6120
1256,254,458,11382,26403,5529,11042,1717,8380,6245
1242,402,484,13477,27865,5855,12931,2552,8904,6630
1221,245,457,10385,24119,4962,10331,1704,8264,6166
1422,166,442,10879,25368,5235,10184,1529,8632,6518
1447,232,447,10854,25239,5527,10817,1662,8846,6547
1304,232,460,10669,24716,4728,10966,1437,8330,5966
1147,63,249,5725,13420,2455,4977,632,5322,3955
1113,240,464,11184,25112,4757,10922,1602,8407,6082
1287,214,433,10443,23601,5260,9664,1117,8767,6459
1116,275,473,12297,27731,5713,11117,2330,9079,6311
1238,203,462,10583,26315,5771,10675,1481,9682,6943
1117,200,433,10455,24065,4874,10408,1286,8126,5978
1369,142,427,10523,23959,4574,9937,1398,8154,6058
1120,215,461,11223,26118,5347,10590,1732,8980,6517
1459,211,432,10379,23605,4440,9649,975,7795,5476
1122,220,450,11031,24604,4817,10163,1554,8089,6381
1123,184,440,9943,23532,4883,10189,1112,8515,6057
1240,155,422,9992,23202,4668,8986,1425,8193,5680
1133,200,466,10724,25297,4814,10836,1359,9059,6444
1337,171,445,10944,25584,5095,10266,1378,8353,6133
1139,321,461,10884,24434,4525,10320,1140,8360,5048
1140,332,468,12660,27283,5232,12393,1652,8912,5961
1405,218,459,11110,24957,4749,10327,1198,8440,6473
1141,176,438,10223,24142,4823,9461,1188,9114,6252
1206,273,468,11453,25642,5293,11499,1541,8251,6228
1148,190,444,10763,24850,5189,9985,1377,7243,6270
1150,238,458,11360,26699,5741,11186,1315,8467,6263
1253,213,450,11077,25408,5106,10382,1200,8181,6445
1151,236,441,10750,24551,5184,10900,1287,7972,6592
1359,180,435,9724,21364,3292,9240,870,7445,5638
1157,217,410,10264,23254,4946,10014,1135,7435,5718
1441,174,437,10592,25224,5398,9641,1277,9173,6366
1158,288,468,11685,26561,5135,11493,1767,8120,6136
1149,147,402,9752,23057,4573,9351,1096,7461,5451
1160,248,460,11400,25726,5226,11412,1898,8457,6262
1142,170,427,9864,23711,4677,9640,1151,7957,5251
1165,185,412,9757,22454,3916,9533,1295,7740,5558
1138,243,453,11322,25890,5782,11013,1568,9192,6751
1179,191,450,10297,23796,4365,10164,1060,7874,5980
1187,156,420,9487,22781,4650,9829,1367,7752,5784
1292,283,457,11080,24630,4986,10827,1338,9254,6183
1191,200,447,10447,23195,3942,10491,1161,8762,6060
1227,183,447,10516,25109,5406,10529,1466,8166,5981
1200,142,440,10133,24845,5203,9847,1680,8342,6296
1456,192,445,10360,23518,4229,10597,1218,7599,5860
1207,293,462,11335,24556,4893,10959,2097,8667,6240
1212,108,408,9003,22649,4497,9422,1057,8131,6482
1211,393,471,12938,26296,5138,12701,1738,8202,5963
1220,241,463,11319,26463,5874,11137,1752,8730,6261
1217,230,412,9744,21849,4241,9630,1629,7259,6099
1193,239,467,10977,25775,5333,10778,1856,8903,6488
1218,243,445,11135,24928,5200,10378,1601,8290,6341
1114,229,439,10006,23443,4785,10152,1315,8658,6079
1219,198,418,10473,23686,4796,9661,1354,7890,5962
1319,180,426,10490,23588,4330,10088,1176,8160,6265
1232,203,455,9967,24104,4313,10605,1370,8406,5949
1464,132,426,10242,24055,4449,9663,1435,8016,5618
1241,194,463,10846,25076,4968,10652,1420,8765,6434
1247,216,458,11191,25833,5242,10667,1404,8048,6347
1174,194,463,10677,25675,4977,11227,1588,8811,6125
1250,248,445,10441,24222,4453,11035,1335,8079,5899
1171,111,405,8846,21483,3898,8754,1167,7771,5501
1258,166,450,10778,25850,5279,10058,1423,8731,6399
1260,200,447,10490,24055,4784,9979,1378,8031,6000
1261,265,467,11911,26919,5700,11676,2152,8091,6424
1311,121,407,9178,21893,3976,8764,997,8128,6261
1265,166,462,10704,25429,4576,10950,1342,8441,6345
1159,165,440,10030,23189,4152,10145,1122,8041,6263
1164,161,448,9982,25070,4958,9721,1037,8237,6142
1267,208,454,11204,25942,5551,10875,1656,8830,6421
1310,228,471,11639,27863,6284,11048,1550,9080,6315
1277,343,483,12435,26420,5588,12241,1914,9029,6501
1421,205,425,10668,24147,4799,10143,1671,7592,6278
1281,272,474,12240,27548,5627,11379,1579,8965,6220
1110,243,460,10280,23295,4161,10627,1187,8100,6121
1298,158,433,9637,23612,4758,9741,1092,8661,6505
1416,254,445,10691,24100,5207,10708,1769,7934,6386
1301,279,480,12258,26708,5290,11580,1978,8339,6208
1291,206,461,10851,25643,4900,10096,1451,8948,6331
1308,284,463,11799,25714,5646,11402,1793,8162,6710
1410,112,408,9078,22081,4230,8951,819,7978,5961
1317,205,429,10638,24433,5101,10639,1540,8458,6255
1283,247,464,10897,25053,5049,10823,1404,8746,5855
1320,288,460,10367,23330,3659,10999,1202,7517,5245
1285,252,430,10574,22937,4056,10033,1393,8295,5508
1321,230,463,10476,24045,3937,9908,1480,8007,5164
1271,106,447,9647,24556,5483,9659,988,8739,7007
1137,278,460,10657,24064,4348,11210,1270,8389,6113
1414,238,458,10995,24909,4629,11315,1584,8556,6084
1329,293,470,11872,26119,5058,11221,1743,9328,6291
1463,213,412,9607,21854,4420,9856,1455,7582,5955
1340,196,421,10721,23535,4486,9505,1332,7954,5906
1169,180,438,10748,24705,5155,10093,1217,9461,6810
1343,241,409,8964,19977,3236,8933,1197,7365,5123
1444,255,463,11004,25287,5505,11036,1221,8940,6342
1345,296,472,11721,26392,5355,11299,1866,8707,5973
1275,208,450,9987,22956,4104,10034,1214,8183,5940
1348,249,461,11455,26427,5983,10792,1905,8600,6058
1318,246,464,10990,25116,4817,10438,1749,7882,6165
1349,174,440,10322,23834,4365,10224,1250,8323,6268
1408,186,445,10177,24193,5002,10412,1598,8355,6320
1350,264,472,11132,25142,4188,10385,1739,8796,5649
1347,171,426,10199,24278,5174,10154,1498,8097,6094
1352,266,468,11354,25829,5151,10527,1197,9078,6584
1282,165,438,10296,24461,4685,9340,1149,8658,5771
1365,200,447,10405,24356,4727,10259,1381,8713,5943
1334,234,441,10378,23395,4530,10372,961,8064,5636
1373,248,471,11919,27388,6026,11319,1651,8510,6579
1107,250,467,10892,24987,5185,11070,1086,8276,6336
1375,213,430,10229,23933,5056,10104,1480,8065,6044
1380,182,435,9956,24010,4981,10529,1581,8130,6620
1379,210,429,9812,23044,4929,9997,1055,8181,5689
1108,123,438,9840,24511,4892,9891,1334,8955,7236
1382,202,445,11022,25372,5265,10345,1516,8474,6133
1439,246,468,11505,26252,5294,10932,1864,8510,5941
1384,145,434,9874,22978,4339,9388,1144,7646,6314
1224,119,452,9560,24103,5291,9932,1371,8653,7179
1394,207,418,10122,22601,4837,9648,1431,8224,6440
1168,204,436,11150,25181,5032,10293,936,8523,6089
1395,188,460,10575,25279,5146,10403,1286,8826,6419
1358,245,418,10093,23361,4994,10232,1294,8742,6112
1397,285,470,12005,27154,5911,11234,1761,8940,6175
1205,180,435,10662,25178,5161,10347,1152,8292,6451
1403,237,472,11751,26234,4943,10755,1550,8743,6263
1423,232,459,11244,26061,5196,10794,1346,8883,6030
1404,154,425,10307,24186,5036,9535,1055,8101,6126
1387,250,463,10259,23825,4131,10935,1393,8231,5926
